c1,c2,c3,c4,c5
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.17536658,0.82463342
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.86490387,0.13509613
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.066676027,0.93332397
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.93997788,0.060022115
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.68233254,0.31766746
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.61810879,0.38189121
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.7302579,0.2697421
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.12419937,0.87580063
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.41200659,0.58799341
0,0,0,0.48828339,0.51171661
0,0,0,0.48828339,0.51171661
0,0,0,0.48828339,0.51171661
0,0,0,0.48828339,0.51171661
0,0,0,0.48828339,0.51171661
0,0,0,0.48828339,0.51171661
0,0,0,0.48828339,0.51171661
