C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.4043757,0.10389342,-4.56898e-12,0.10389342,0.63314878,5.5345011e-13,-4.5682535e-12,5.5324202e-13,0.084805319,0.728
0.86246997,0.25850226,1.9994793e-13,0.25850226,0.97995566,-1.7502258e-12,1.9881953e-13,-1.7493028e-12,0.3030469,0.9344
1.0986188,0.32958568,2.5791603e-14,0.32958568,1.0986199,2.7388765e-14,2.6850655e-14,2.5913964e-14,0.3845166,1
1.0989011,0.32967032,2.514796e-14,0.32967032,1.0989011,2.6275248e-14,2.6586906e-14,2.5704086e-14,0.38461537,1
1.0989011,0.32967033,2.5598678e-14,0.32967033,1.0989011,2.8384717e-14,2.6097246e-14,2.5442586e-14,0.38461538,1
1.0989011,0.32967033,2.6578695e-14,0.32967033,1.0989011,2.5044922e-14,2.4820881e-14,2.3319508e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.29690281,0.08667655,-1.1223553e-12,0.08667655,0.43702124,-3.6065609e-12,-1.1219499e-12,-3.6079017e-12,0.060413879,0.608
0.29690281,0.08667655,-1.1229126e-12,0.08667655,0.43702124,-3.607554e-12,-1.1229596e-12,-3.6080457e-12,0.060413879,0.608
0.29690281,0.08667655,-1.1225451e-12,0.08667655,0.43702124,-3.6077077e-12,-1.1221311e-12,-3.6076036e-12,0.060413879,0.608
0.29690282,0.086676551,-1.1229541e-12,0.086676551,0.43702125,-3.6068054e-12,-1.1227658e-12,-3.6061053e-12,0.06041388,0.608
0.29690337,0.08667667,-1.1224044e-12,0.08667667,0.43702238,-3.6067056e-12,-1.1225585e-12,-3.6066729e-12,0.060413968,0.608
0.29695689,0.08668813,-1.1200616e-12,0.08668813,0.43713137,-3.6027048e-12,-1.119623e-12,-3.6022894e-12,0.060422492,0.608
0.30191808,0.087692694,-5.6576708e-13,0.087692694,0.44677447,-3.0802244e-12,-5.666547e-13,-3.0796714e-12,0.061198418,0.6128
0.4066317,0.10433732,-2.6127621e-12,0.10433732,0.63552977,-2.8914835e-12,-2.6124697e-12,-2.8900689e-12,0.086231943,0.736
0.83371577,0.24902068,4.8090992e-14,0.24902068,0.95152241,-6.1492145e-13,4.8387555e-14,-6.1508382e-13,0.28885699,0.9264
1.0962598,0.3288804,2.6131646e-14,0.3288804,1.0963489,2.567017e-14,2.6420685e-14,2.4426456e-14,0.3836915,1
1.0989008,0.32967024,2.5121994e-14,0.32967024,1.0989008,2.5810835e-14,2.6874904e-14,2.5846081e-14,0.38461528,1
1.0989011,0.32967033,2.5000763e-14,0.32967033,1.0989011,2.6116542e-14,2.6879748e-14,2.5661064e-14,0.38461538,1
1.0989011,0.32967033,2.5691225e-14,0.32967033,1.0989011,2.4687197e-14,2.5526921e-14,2.4481328e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.18056594,0.034457119,-2.2923544e-13,0.034457119,0.33802308,2.2501939e-14,-2.2938743e-13,2.3154218e-14,0.019128986,0.4768
