C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
1.0475759,0.30885323,2.5972759e-14,0.30885323,1.0101325,2.6177063e-14,2.5776439e-14,2.5570659e-14,0.36127043,0.9776
1.0947883,0.32821204,2.6873604e-14,0.32821204,1.094061,2.7293852e-14,2.4951332e-14,2.6169994e-14,0.38295383,0.9984
0.18940688,0.016327183,8.7375809e-15,0.016327183,0.2228707,8.9117394e-15,8.6907699e-15,8.1256884e-15,0.0052025436,0.3296
0.18940715,0.016327299,9.8046637e-15,0.016327299,0.22287106,8.6838151e-15,8.9930487e-15,8.6209416e-15,0.0052025893,0.3296
0.18943301,0.016338498,8.7127537e-15,0.016338498,0.22290556,9.9501373e-15,8.8327354e-15,1.0147603e-14,0.005206977,0.3296
0.19107368,0.017062194,9.2710451e-15,0.017062194,0.22511313,8.7090712e-15,8.9139382e-15,8.1044981e-15,0.0054982728,0.3328
0.20112068,0.021567924,1.014056e-14,0.021567924,0.23959901,9.3810149e-15,9.3108768e-15,9.1990495e-15,0.0076689462,0.352
0.21627565,0.027427227,1.0664589e-14,0.027427227,0.26552855,1.1216578e-14,1.099909e-14,1.0615451e-14,0.012038807,0.3904
0.23654811,0.035415913,1.2155342e-14,0.035415913,0.30495023,1.2176943e-14,1.174493e-14,1.1668028e-14,0.020179099,0.4496
0.26362732,0.047731389,1.4402181e-14,0.047731389,0.36478526,1.3059098e-14,1.2895585e-14,1.374053e-14,0.035385086,0.5248
0.30061993,0.068856758,1.5187411e-14,0.068856758,0.46584105,1.5871378e-14,1.592309e-14,1.5449513e-14,0.062963504,0.616
0.35103917,0.097623262,1.8374592e-14,0.097623262,0.58392143,1.8219211e-14,1.9041022e-14,1.7799574e-14,0.10916382,0.7104
0.45371559,0.14230475,2.0732645e-14,0.14230475,0.70860647,2.1754026e-14,2.0281292e-14,2.0679796e-14,0.17685442,0.8016
0.64739742,0.2091621,2.2737545e-14,0.2091621,0.83894534,2.2705937e-14,2.3097541e-14,2.3655245e-14,0.25288614,0.88
0.84121252,0.26718415,2.465431e-14,0.26718415,0.95727394,2.4368644e-14,2.4384924e-14,2.4266507e-14,0.31613172,0.9392
1.0079368,0.30838471,2.5375595e-14,0.30838471,1.0479375,2.6256779e-14,2.6773006e-14,2.5476175e-14,0.3609425,0.9776
1.094009,0.32820204,2.6666147e-14,0.32820204,1.0947836,2.559418e-14,2.5332834e-14,2.5011169e-14,0.38294253,0.9984
3.427505e-09,1.028245e-09,5.6400107e-15,1.0282446e-09,0.21409341,5.6460716e-15,5.4110287e-15,5.5745242e-15,1.1996287e-09,0.2
3.4275096e-09,1.0282465e-09,5.7232732e-15,1.0282474e-09,0.21409532,5.7047138e-15,5.9195073e-15,5.6910974e-15,1.1996303e-09,0.2
3.427896e-09,1.0282698e-09,5.1179386e-15,1.0282707e-09,0.21427572,4.6713015e-15,5.8987656e-15,5.5170607e-15,1.1997676e-09,0.2
